pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_logg,st_loggerr1,st_loggerr2,st_met,st_meterr1,st_meterr2,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,disc_year,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,method_Transit,method_Radial Velocity,method_Microlensing,pl_density,orbital_velocity_proxy,star_planet_ratio,label
41.688644,0.003353,-0.003419,2.35545351,0.30999992,-0.16677291,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5703.0,50.0,-50.0,0.956122,0.098585,-0.054675,0.963861,0.029568,-0.032166,4.38,0.1,-0.1,-0.06,0.08,-0.08,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.9182430190672173,0.1520541645924866,0.40591843394098664,2
41.6855,0.003,-0.0031,2.23,0.14,-0.11,16.3,6.0,-6.1,321.79,0.0,0.0,546.0,19.0,-18.0,0.241,0.019,-0.017,0.0,0.0,0.0,5766.0,99.0,-99.0,0.928,0.055,-0.04,0.961,0.032,-0.029,4.5,0.08,-0.08,-0.15,0.05,-0.05,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.4698499950448922,0.15183405343314313,0.41614349775784754,2
41.6855,0.003,-0.003,2.57807,0.11209,-0.11209,22.2481,9.5349,-9.5349,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0,0.0,0.0,5766.0,99.0,-99.0,1.08,0.06,-0.06,1.67,0.4,-0.4,4.5,0.08,-0.08,-0.15,0.0,0.0,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,1.2984009134887535,0.2001546702547927,0.4189180278270179,2
2.30183,0.00028,-0.0003,1.12,0.11,-0.08,12.0,0.0,0.0,321.79,0.0,0.0,1054.0,55.0,-55.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4616.52,82.36,-115.56,0.762602,0.053651,-0.037585,0.73,0.084105,-0.081044,4.53679,0.075486,-0.090593,-0.03,0.034,-0.034,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,8.541362973760931,0.5631509318426933,0.6808946428571427,1
2.302368,0.000105,-0.000103,1.31258765,0.524177,-0.12081424,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4720.0,50.0,-50.0,0.710995,0.018609,-0.020398,0.88,0.0,0.0,4.5,0.1,-0.1,-0.06,0.08,-0.08,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,5.3063550440510845,0.6182355377985675,0.541674302664664,1
1.1947488,0.0,0.0,4.19,0.0,0.0,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,3919.0,0.0,0.0,0.57,0.0,0.0,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,290.062,18.356,-16.325,19.21,0.2,-0.2,14.23,0.07,-0.07,2016.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.16313200618830384,0.8582287018024112,0.13603818615751787,1
6.178369,0.000195,-0.000172,9.91257877,0.52940607,-0.36218238,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5015.0,50.0,-50.0,0.789478,0.025322,-0.017327,0.88,0.0,0.0,4.67,0.1,-0.1,0.24,0.08,-0.08,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.01232030024550955,0.37740218888962923,0.07964405815258908,1
6.17887,7e-05,-7e-05,8.84,0.14,-0.13,12.0,0.0,0.0,321.79,0.0,0.0,772.0,10.0,-10.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,4719.28,100.72,-112.19,0.849432,0.053904,-0.052076,0.756,0.096466,-0.080306,4.45833,0.062492,-0.110798,0.213,0.041,-0.041,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,2018.0,0.334,0.0,0.0,0.0,0.0,1,0,0,0.01737098522947442,0.34978917790428526,0.09608959276018099,1
1.17589,0.0001,-0.0001,0.86,0.18,-0.26,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.309,0.057,-0.07,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,166.5844,0.0,0.0,16.64,0.2,-0.2,11.397,0.023,-0.023,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,18.86626334788132,0.8650834180930461,0.35930232558139535,1
10.6966,0.002,-0.0021,1.45,0.18,-0.36,12.0,0.0,0.0,321.79,0.0,0.0,1140.0,0.0,0.0,0.06706000000000001,0.0,0.0,0.0775,0.0,0.0,5659.0,0.0,0.0,0.588,0.041,-0.015,0.88,0.0,0.0,4.37283,0.0,0.0,-0.01,0.0,0.0,212.291,1.408,-1.39,14.346,0.183,-0.183,11.43,0.023,-0.023,2019.0,0.334,0.0,0.0,0.0,0.0,1,0,0,3.9362007462380584,0.28682596159976537,0.40551724137931033,1
