pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist,label
41.688644,2.35545351,12.0,5703.0,0.956122,0.963861,179.461,2.0
41.6855,2.23,16.3,5766.0,0.928,0.961,179.461,2.0
41.6855,2.57807,22.2481,5766.0,1.08,1.67,179.461,2.0
2.30183,1.12,12.0,4616.52,0.762602,0.73,97.1795,1.0
2.302368,1.31258765,12.0,4720.0,0.710995,0.88,97.1795,1.0
1.1947488,4.19,12.0,3919.0,0.57,0.88,290.062,1.0
6.178369,9.91257877,12.0,5015.0,0.789478,0.88,117.704,1.0
6.17887,8.84,12.0,4719.28,0.849432,0.756,117.704,1.0
1.17589,0.86,12.0,5659.0,0.309,0.88,166.5844,1.0
10.6966,1.45,12.0,5659.0,0.588,0.88,212.291,1.0
1.5374115,45.0,12.0,5659.0,1.599,0.88,666.23,1.0
2.71189,4.34,12.0,6402.0,3.16745,1.28,1032.42,1.0
18.10549,2.09985108,12.0,6213.0,1.224685,0.88,266.864,1.0
6.7987,1.047,12.0,3648.0,0.282,0.287,264.78,2.0
79.9999,10.2,12.0,4542.0,0.508,0.88,333.46,1.0
4.622654,30.0,12.0,5659.0,0.707,0.88,333.46,1.0
17.77297,26.44,12.0,5847.0,1.25428,1.06,601.265,1.0
0.99656225,32.8,12.0,3727.0,0.5,0.88,335.632,1.0
14.912381,3.55,12.0,4224.0,0.65,0.88,360.103,1.0
14.9139,3.24,12.0,5659.0,0.647,0.88,360.103,1.0
0.57303573,3.35,12.0,3570.0,0.43,0.88,1138.64,1.0
28.1656,1.87,12.0,5659.0,1.08,0.41,159.259,2.0
28.1696,2.2,12.0,5659.0,0.374,0.88,159.259,2.0
7.90417,2.06,12.0,5659.0,0.374,0.88,159.259,1.0
7.9069606,3.02,12.0,3772.0,0.52,0.88,159.259,1.0
1.0829614,1.56,12.0,3875.0,0.56,0.88,299.406,1.0
0.905655,1.57,12.0,5659.0,0.576,0.88,190.075,1.0
0.90552205,1.52,12.0,3710.0,0.5,0.88,190.075,1.0
2.7541129,4.87,12.0,3834.0,0.55,0.88,793.131,1.0
2.75421,8.4,12.0,5659.0,0.89,0.88,793.131,1.0
2.75391,3.78,12.0,3918.0,0.436,0.88,793.131,1.0
50.285869,3.47,12.0,4859.0,0.74,0.88,829.248,0.0
50.27762,209.52,12.0,5141.0,10.96,0.88,829.248,0.0
10.50439,1.75,12.0,5659.0,0.878,0.88,84.947,1.0
1.684208,5.51,12.0,5659.0,0.431,0.88,325.636,1.0
0.2122013,0.519,12.0,5659.0,0.188,0.88,71.8937,1.0
0.21219899,1.05,12.0,3468.0,0.37,0.88,71.8937,1.0
0.212194,0.77,12.0,3299.0,0.26,0.88,71.8937,1.0
1.5778643,7.55,12.0,4811.0,0.73,0.88,290.883,1.0
1.57771549,7.91263,12.0,5163.0,1.15585,0.87,290.883,1.0
1.57771549,7.91263,12.0,7333.0,2.56752,1.66,307.784,1.0
13.0113,2.43,12.0,5347.0,0.880221,0.92,501.257,1.0
40.70206194,7.91263,12.0,3759.0,0.572892,0.565387,118.959,1.0
21.204739,9.11013939,12.0,5154.0,1.761722,0.88,573.991,1.0
2.519334,3.91,12.0,6283.0,1.45,0.88,476.884,0.0
2.5194039,7.65729,12.0,6380.0,1.76,0.88,476.884,0.0
2.519386,19.6,12.0,5659.0,2.03,0.88,476.884,0.0
2.51881781,7.91263,12.0,6380.0,1.76277,0.88,476.884,0.0
2.5194078,7.99,12.0,7119.0,1.72,0.88,476.884,0.0
13.383629,2.87289326,12.0,5216.0,0.815235,0.88,194.195,1.0
13.38382,2.7,12.0,5113.71,0.65973,0.86,194.195,1.0
